Province/State,Country/Region,Lat,Long,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20
,Switzerland,46.8182,8.2275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.9,1.6666666666666667,0.9333333333333333,2.4285714285714284,0.7058823529411765,4.166666666666667,0.54,1.2777777777777777,0.5362318840579711,3.1621621621621623,1.376068376068376,0.0,0,0.4517453798767967,3.8227272727272728,0.0,0,0.656,3.192073170731707,1.1642788920725884,1.0508613617719442
,Austria,47.5162,14.5501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.8333333333333334,0.8,0.75,2.6666666666666665,1.5,1.1666666666666667,1.7142857142857142,1.0416666666666667,1.08,1.8888888888888888,1.2549019607843137,0.875,3.607142857142857,0.7475247524752475,1.3576158940397351,0.7707317073170732,1.9873417721518987,1.0,1.1687898089171975,1.021798365122616,1.136
,Israel,31,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,1.0,3.0,1.0,0.0,0,1.5,1.6666666666666667,3.4,0.35294117647058826,3.0,0.0,0,1.1818181818181819,0.8461538461538461,1.3636363636363635,1.0666666666666667,1.8125,0.06896551724137931,20.5,1.170731707317073,2.5416666666666665,0.11475409836065574,6.357142857142857
,Pakistan,30.3753,69.3451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.3,0.3333333333333333,8.0,0.375,7.333333333333333,3.772727272727273,1.2048192771084338,0.63,2.4603174603174605,0.3032258064516129,4.872340425531915
,Brazil,-14.235,-51.9253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.7142857142857143,1.2,1.1666666666666667,2.0,7.071428571428571,0.0,0,3.4545454545454546,3.1842105263157894,0.4214876033057851,4.882352941176471,0.6907630522088354,1.3255813953488371
,Georgia,42.3154,43.3569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0.2222222222222222,0.0,0,0.0,0,5.0,0.6,0.0,0,4.0,0.5,1.5,2.0
,Greece,39.0742,21.8243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.5,0.0,0,0.0,0,0,11.0,0.6363636363636364,0.07142857142857142,27.0,0.0,0,0.625,0.0,0,0.4175824175824176,2.710526315789474,0.0,0,0.5535714285714286,0.0,0,0.45454545454545453
,North Macedonia,41.6086,21.7453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,2.0,1.125,1.4444444444444444,1.4615384615384615,0.9473684210526315
,Norway,60.472,8.4689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1.8,0.4444444444444444,1.5,1.1666666666666667,3.4285714285714284,1.2916666666666667,0.6774193548387096,1.8571428571428572,0.7435897435897436,1.0,6.724137931034483,1.0153846153846153,0.5252525252525253,2.826923076923077,0.3197278911564626,1.3936170212765957,0.8549618320610687,1.1607142857142858,0.6692307692307692,2.2528735632183907,0.8571428571428571,1.2142857142857142
,Romania,45.9432,24.9668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,2.0,1.5,0.0,0,0.0,0,2.0,0.2,10.0,0.85,0.23529411764705882,3.375,0.9629629629629629,2.923076923076923,0.2236842105263158,1.8235294117647058,1.903225806451613
,Estonia,58.5953,25.0136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,7.0,0.0,0,0,0,2.0,0.0,0,0.5714285714285714,1.5555555555555556,0.6071428571428571,0.5882352941176471,1.65,0.2727272727272727,1.7777777777777777,1.4375
,San Marino,43.9424,12.4578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.2857142857142857,3.0,0.8333333333333334,0.0,0,6.5,0.0,0,0.7333333333333333,0.6363636363636364,1.5714285714285714,0.0,0,0.38095238095238093,0.0,0,0.0,0,0.0
,Belarus,53.7098,27.9534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,5.0,0.0,0,0,0.0,0,0.0,0,0.3888888888888889
,Iceland,64.9631,-19.0208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1.5,1.6666666666666667,3.0,0.5333333333333333,1.125,0.7777777777777778,0.0,0,1.375,1.4545454545454546,1.125,1.7222222222222223,0.7096774193548387,0.6818181818181818,0.6,4.444444444444445,0.75,2.6666666666666665,0.9875,0.810126582278481
,Lithuania,55.1694,23.8813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.6666666666666666,2.0,1.25,1.6,0.25,4.5,1.4444444444444444,2.6153846153846154
,Mexico,23.6345,-102.5528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.3333333333333333,0.0,0,0,0,0,0.0,0,0.0,0,0,4.0,0.0,0,1.0714285714285714,0.8,2.4166666666666665,0.3793103448275862,2.272727272727273,1.84,0.8478260869565217
,New Zealand,-40.9006,174.886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,1.0,0.0,0,0,0,0,0,0,2.0,0.0,0,2.0,1.0,1.375,1.1818181818181819
,Nigeria,9.082,8.6753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,5.0,0.0,0,2.5
Western Australia,Australia,-31.9505,115.8605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,2.0,1.5,0.0,0,0.6,0.0,0,0.2727272727272727,1.3333333333333333,4.25,0.7058823529411765,2.1666666666666665
,Ireland,53.1424,-7.6921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,4.0,0.0,0,0.0,0,2.0,6.5,0.6923076923076923,0.0,0,0.8297872340425532,0.0,0,1.35,1.2777777777777777,3.8405797101449277,0.47547169811320755,0.8095238095238095
,Luxembourg,49.8153,6.1296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,1.0,6.0,1.25,1.1333333333333333,0.47058823529411764,2.25,3.5,1.0,2.0952380952380953,1.128787878787879,1.2483221476510067
,Monaco,43.7333,7.4167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
,Qatar,25.3548,51.1839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0,0.25,0.0,0,0,0,0.42857142857142855,2.0,39.666666666666664,0.0,0,0.29310344827586204,3.764705882352941,0.59375,0.0,0,0.6153846153846154,1.25,1.1
,Ecuador,-1.8312,-78.1834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,3.0,1.0,0.0,0,0,1.0,0.0,0,0.0,0,0,0.0,0,2.3333333333333335,2.5238095238095237,1.6603773584905661,1.9090909090909092,0.8273809523809523
,Azerbaijan,40.1431,47.5769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,-1.0,-1.625,0.0,0,0.0,0
,Armenia,40.0691,45.0382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1.3333333333333333,2.5,0.8,3.25,1.0,0.23076923076923078,5.166666666666667,0.6774193548387096,1.1428571428571428
,Dominican Republic,18.7357,-70.1627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,2.923076923076923,1.0526315789473684
,Indonesia,-0.7893,113.9213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,6.5,0.6153846153846154,0.875,0.0,0,0.7714285714285715,0.7777777777777778,0.8095238095238095,2.235294117647059,1.4473684210526316,1.5272727272727273,0.6904761904761905,1.396551724137931
,Portugal,39.3999,-8.2245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1.0,1.6666666666666667,1.4,1.4285714285714286,0.0,0,1.6363636363636365,0.0,0,1.0754716981132075,1.3333333333333333,1.131578947368421,1.3604651162790697,0.0,0,0.6973293768545994,1.1063829787234043
,Andorra,42.5063,1.5218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.0,0.0,0,1.5714285714285714,0.5909090909090909
Tasmania,Australia,-41.4545,145.9707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,1.0,0.0,0,0.0,0,0
